MUNICIPIO,MESOREGIAO,MICROREGIAO,CODIGO
FAXINALZINHO,4301,430104,430805
FAZENDA VILA NOVA,4304,430421,430807
FELIZ,4305,430523,430810
FLORES DA CUNHA,4302,430216,430820
FLORIANO PEIXOTO,4301,430104,430825
FONTOURA XAVIER,4301,430113,430830
FORMIGUEIRO,4303,430319,430840
FORQUETINHA,4304,430421,430843
FORTALEZA DOS VALOS,4301,430111,430845
FREDERICO WESTPHALEN,4301,430103,430850
GARIBALDI,4302,430216,430860
GARRUCHOS,4306,430629,430865
GAURAMA,4301,430104,430870
GENERAL CAMARA,4305,430525,430880
GENTIL,4301,430110,430885
GETULIO VARGAS,4301,430104,430890
GIRUA,4301,430107,430900
GLORINHA,4305,430526,430905
GRAMADO,4305,430524,430910
GRAMADO DOS LOUREIROS,4301,430103,430912
GRAMADO XAVIER,4304,430420,430915
GRAVATAI,4305,430526,430920
GUABIJU,4302,430214,430925
GUAIBA,4305,430526,430930
GUAPORE,4302,430214,430940
GUARANI DAS MISSOES,4301,430106,430950
HARMONIA,4305,430523,430955
HERVEIRAS,4304,430420,430957
HORIZONTINA,4301,430102,430960
HULHA NEGRA,4306,430631,430965
HUMAITA,4301,430102,430970
IBARAMA,4304,430420,430975
IBIACA,4301,430105,430980
IBIRAIARAS,4301,430110,430990
IBIRAPUITA,4301,430113,430995
IBIRUBA,4301,430111,431000
IGREJINHA,4305,430524,431010
IJUI,4301,430108,431020
ILOPOLIS,4302,430214,431030
IMBE,4305,430527,431033
IMIGRANTE,4304,430421,431036
INDEPENDENCIA,4301,430101,431040
INHACORA,4301,430108,431041
IPE,4302,430215,431043
IPIRANGA DO SUL,4301,430104,431046
IRAI,4301,430103,431050
ITAARA,4303,430318,431053
ITACURUBI,4303,430317,431055
ITAPUCA,4302,430214,431057
ITAQUI,4306,430629,431060
ITATI,4305,430527,431065
ITATIBA DO SUL,4301,430104,431070
IVORA,4303,430319,431075
IVOTI,4305,430524,431080
JABOTICABA,4301,430109,431085
JACUIZINHO,4301,430111,431087
JACUTINGA,4301,430104,431090
JAGUARAO,4307,430734,431100
JAGUARI,4303,430318,431110
JAQUIRANA,4302,430215,431112
JARI,4303,430317,431113
JOIA,4301,430111,431115
JULIO DE CASTILHOS,4303,430317,431120
LAGOA BONITA DO SUL,4304,430420,431123
LAGOAO,4301,430113,431125
LAGOA DOS TRES CANTOS,4301,430112,431127
LAGOA VERMELHA,4302,430215,431130
LAJEADO,4304,430421,431140
LAJEADO DO BUGRE,4301,430109,431142
LAVRAS DO SUL,4306,430631,431150
LIBERATO SALZANO,4301,430103,431160
LINDOLFO COLLOR,4305,430524,431162
LINHA NOVA,4305,430523,431164
MACHADINHO,4301,430105,431170
MACAMBARA,4306,430629,431171
MAMPITUBA,4305,430527,431173
MANOEL VIANA,4306,430629,431175
MAQUINE,4305,430527,431177
MARATA,4305,430523,431179
MARAU,4301,430110,431180
MARCELINO RAMOS,4301,430104,431190
MARIANA PIMENTEL,4305,430526,431198
MARIANO MORO,4301,430104,431200
MARQUES DE SOUZA,4304,430421,431205
MATA,4303,430318,431210
MATO CASTELHANO,4301,430110,431213
MATO LEITAO,4304,430420,431215
MATO QUEIMADO,4301,430106,431217
MAXIMILIANO DE ALMEIDA,4301,430105,431220
MINAS DO LEAO,4305,430525,431225
MIRAGUAI,4301,430102,431230
MONTAURI,4302,430214,431235
MONTE ALEGRE DOS CAMPOS,4302,430215,431237
MONTE BELO DO SUL,4302,430216,431238
MONTENEGRO,4305,430523,431240
MORMACO,4301,430113,431242
MORRINHOS DO SUL,4305,430527,431244
MORRO REDONDO,4307,430733,431245
MORRO REUTER,4305,430524,431247
MOSTARDAS,4305,430527,431250
MUCUM,4304,430421,431260
MUITOS CAPOES,4302,430215,431261
MULITERNO,4301,430110,431262
NAO-ME-TOQUE,4301,430112,431265
NICOLAU VERGUEIRO,4301,430110,431267
NONOAI,4301,430103,431270
NOVA ALVORADA,4302,430214,431275
NOVA ARACA,4302,430214,431280
NOVA BASSANO,4302,430214,431290
NOVA BOA VISTA,4301,430109,431295
NOVA BRESCIA,4304,430421,431300
NOVA CANDELARIA,4301,430102,431301
NOVA ESPERANCA DO SUL,4303,430318,431303
NOVA HARTZ,4305,430526,431306
NOVA PADUA,4302,430216,431308
NOVA PALMA,4303,430319,431310
NOVA PETROPOLIS,4305,430524,431320
NOVA PRATA,4302,430214,431330
NOVA RAMADA,4301,430108,431333
NOVA ROMA DO SUL,4302,430216,431335
NOVA SANTA RITA,4305,430526,431337
NOVO CABRAIS,4304,430422,431339
NOVO HAMBURGO,4305,430526,431340
NOVO MACHADO,4301,430101,431342
NOVO TIRADENTES,4301,430103,431344
NOVO XINGU,4301,430103,431346
NOVO BARREIRO,4301,430109,431349
OSORIO,4305,430527,431350
PAIM FILHO,4301,430105,431360
PALMARES DO SUL,4305,430527,431365
PALMARES SUL,4305,430527,431365
PALMEIRA DAS MISSOES,4301,430109,431370
PALMITINHO,4301,430103,431380
PANAMBI,4301,430108,431390
PANTANO GRANDE,4304,430422,431395
PARAI,4302,430214,431400
PARAISO DO SUL,4304,430422,431402
PARECI NOVO,4305,430523,431403
PAROBE,4305,430526,431405
PASSA SETE,4304,430420,431406
PASSO DO SOBRADO,4304,430422,431407
PASSO FUNDO,4301,430110,431410
PAULO BENTO,4301,430104,431413
PAVERAMA,4304,430421,431415
PEDRAS ALTAS,4307,430732,431417
PEDRO OSORIO,4307,430733,431420
PEJUCARA,4301,430108,431430
PELOTAS,4307,430733,431440
PICADA CAFE,4305,430524,431442
PINHAL,4301,430109,431445
PINHAL DA SERRA,4302,430215,431446
PINHAL GRANDE,4303,430317,431447
PINHEIRINHO DO VALE,4301,430103,431449
PINHEIRO MACHADO,4307,430732,431450
PINTO BANDEIRA,4302,430216,431453
PIRAPO,4301,430107,431455
PIRATINI,4307,430732,431460
PLANALTO,4301,430103,431470
POCO DAS ANTAS,4305,430523,431475
PONTAO,4301,430110,431477
PONTE PRETA,4301,430104,431478
PORTAO,4305,430523,431480
PORTO ALEGRE,4305,430526,431490
PORTO LUCENA,4301,430101,431500
PORTO MAUA,4301,430101,431505
