NOME,POPULATION
"LAGOA VERMELHA",27529
"LAGOAO",6185
"LAJEADO",71481
"LAJEADO DO BUGRE",2487
"LAVRAS DO SUL",7669
"LIBERATO SALZANO",5780
"LINDOLFO COLLOR",5229
"LINHA NOVA",1624
"MACHADINHO",5515
"MAMPITUBA",2997
"MANOEL VIANA",7074
"MAQUINE",6908
"MARATA",2527
"MARAU",36383
"MARCELINO RAMOS",5134
"MARIANA PIMENTEL",3768
"MARIANO MORO",2210
"MARQUES DE SOUZA",4068
"MATA",5111
"MATO CASTELHANO",2470
"MATO LEITAO",3869
"MATO QUEIMADO",1799
"MAXIMILIANO DE ALMEIDA",4907
"MACAMBARA",4742
"MINAS DO LEAO",7631
"MIRAGUAI",4855
"MONTAURI",1542
"MONTE ALEGRE DOS CAMPOS",3098
"MONTE BELO DO SUL",2670
"MONTENEGRO",59436
"MORMACO",2749
"MORRINHOS DO SUL",3185
"MORRO REDONDO",6231
"MORRO REUTER",5680
"MOSTARDAS",12130
"MUITOS CAPOES",2977
"MULITERNO",1813
"MUCUM",4791
"NICOLAU VERGUEIRO",1721
"NONOAI",12076
"NOVA ALVORADA",3177
"NOVA ARACA",4003
"NOVA BASSANO",8840
"NOVA BOA VISTA",1960
"NOVA BRESCIA",3184
"NOVA CANDELARIA",2751
"NOVA ESPERANCA DO SUL",4671
"NOVA HARTZ",18346
"NOVA PALMA",6345
"NOVA PETROPOLIS",19058
"NOVA PRATA",22830
"NOVA PADUA",2445
"NOVA RAMADA",2437
"NOVA ROMA DO SUL",3347
"NOVA SANTA RITA",22706
"NOVO BARREIRO",3978
"NOVO CABRAIS",3855
"NOVO HAMBURGO",239651
"NOVO MACHADO",3927
"NOVO TIRADENTES",2277
"NOVO XINGU",1757
"NAO-ME-TOQUE",15938
"OSORIO",40941
"PAIM FILHO",4243
"PALMARES DO SUL",10971
"PALMEIRA DAS MISSOES",34335
"PALMITINHO",6920
"PANAMBI",38068
"PANTANO GRANDE",9895
"PARAI",6812
"PARAISO DO SUL",7336
"PARECI NOVO",3511
"PAROBE",51481
"PASSA SETE",5159
"PASSO DO SOBRADO",6011
"PASSO FUNDO",184869
"PAULO BENTO",2196
"PAVERAMA",8047
"PEDRAS ALTAS",2218
"PEDRO OSORIO",7817
"PEJUCARA",3973
"PELOTAS",328275
"PICADA CAFE",5182
"PINHAL",2515
"PINHAL DA SERRA",2130
"PINHAL GRANDE",4471
"PINHEIRINHO DO VALE",4503
"PINHEIRO MACHADO",12787
"PIRAPO",2757
"PIRATINI",19831
"PLANALTO",10524
"PONTE PRETA",1750
"PONTAO",3857
"PORTO ALEGRE",1409351.0
"PORTO LUCENA",5421
"PORTO MAUA",2544
